,"en-US","de-DE","es-ES","fr-FR","it-IT","ja-JP","ko-KR","pl-PL","pt-BR","ru-RU","zh-HANS","zh-HANT"
"# Mod title and description.",,,,,,,,,,,,
"Title","Resource Locator","Ressourcensuche","Localizador de recursos","Localisateur de ressources","Localizzatore di risorse","リソースロケーター","리소스 로케이터","Lokalizator zasobów","Localizador de Recursos","Локатор ресурсов","资源定位器","資源定位器"
"Description","New info view to locate buildings where resources are required, produced, sold, and stored.","Neue Infoansicht zum Lokalisieren von Gebäuden, in denen Ressourcen benötigt, produziert, verkauft und gelagert werden.","Nueva vista de información para ubicar edificios donde se requieren, producen, venden y almacenan recursos.","Nouvelle vue d'information pour localiser les bâtiments où les ressources sont nécessaires, produites, vendues et stockées.","Nuova visualizzazione informativa per individuare gli edifici in cui le risorse sono richieste, prodotte, vendute e immagazzinate.","リソースが必要、生産、販売、保管される建物を見つけるための新しい情報ビュー。","자원이 필요하고, 생산되고, 판매되고, 저장되는 건물의 위치를 ​​알려주는 새로운 정보 보기입니다.","Nowy widok informacyjny umożliwiający lokalizację budynków, w których zasoby są wymagane, produkowane, sprzedawane i przechowywane.","Nova visualização de informações para localizar edifícios onde os recursos são necessários, produzidos, vendidos e armazenados.","Новое информационное представление для поиска зданий, где требуются, производятся, продаются и хранятся ресурсы.","新的信息视图可以定位需要、生产、销售和存储资源的建筑物。","新的資訊視圖可定位需要、生產、銷售和儲存資源的建築物。"
,,,,,,,,,,,,
,,,,,,,,,,,,
"# Infoview title.",,,,,,,,,,,,
"InfoviewTitle","@@Title","@@Title","@@Title","@@Title","@@Title","@@Title","@@Title","@@Title","@@Title","@@Title","@@Title","@@Title"
,,,,,,,,,,,,
"# Infomode titles.",,,,,,,,,,,,
"InfomodeTitleWood","$$Resources.TITLE[Wood]","$$Resources.TITLE[Wood]","$$Resources.TITLE[Wood]","$$Resources.TITLE[Wood]","$$Resources.TITLE[Wood]","$$Resources.TITLE[Wood]","$$Resources.TITLE[Wood]","$$Resources.TITLE[Wood]","$$Resources.TITLE[Wood]","$$Resources.TITLE[Wood]","$$Resources.TITLE[Wood]","$$Resources.TITLE[Wood]"
"InfomodeTitleGrain","$$Resources.TITLE[Grain]","$$Resources.TITLE[Grain]","$$Resources.TITLE[Grain]","$$Resources.TITLE[Grain]","$$Resources.TITLE[Grain]","$$Resources.TITLE[Grain]","$$Resources.TITLE[Grain]","$$Resources.TITLE[Grain]","$$Resources.TITLE[Grain]","$$Resources.TITLE[Grain]","$$Resources.TITLE[Grain]","$$Resources.TITLE[Grain]"
"InfomodeTitleLivestock","$$Resources.TITLE[Livestock]","$$Resources.TITLE[Livestock]","$$Resources.TITLE[Livestock]","$$Resources.TITLE[Livestock]","$$Resources.TITLE[Livestock]","$$Resources.TITLE[Livestock]","$$Resources.TITLE[Livestock]","$$Resources.TITLE[Livestock]","$$Resources.TITLE[Livestock]","$$Resources.TITLE[Livestock]","$$Resources.TITLE[Livestock]","$$Resources.TITLE[Livestock]"
"InfomodeTitleVegetables","$$Resources.TITLE[Vegetables]","$$Resources.TITLE[Vegetables]","$$Resources.TITLE[Vegetables]","$$Resources.TITLE[Vegetables]","$$Resources.TITLE[Vegetables]","$$Resources.TITLE[Vegetables]","$$Resources.TITLE[Vegetables]","$$Resources.TITLE[Vegetables]","$$Resources.TITLE[Vegetables]","$$Resources.TITLE[Vegetables]","$$Resources.TITLE[Vegetables]","$$Resources.TITLE[Vegetables]"
"InfomodeTitleCotton","$$Resources.TITLE[Cotton]","$$Resources.TITLE[Cotton]","$$Resources.TITLE[Cotton]","$$Resources.TITLE[Cotton]","$$Resources.TITLE[Cotton]","$$Resources.TITLE[Cotton]","$$Resources.TITLE[Cotton]","$$Resources.TITLE[Cotton]","$$Resources.TITLE[Cotton]","$$Resources.TITLE[Cotton]","$$Resources.TITLE[Cotton]","$$Resources.TITLE[Cotton]"
"InfomodeTitleOil","$$Resources.TITLE[Oil]","$$Resources.TITLE[Oil]","$$Resources.TITLE[Oil]","$$Resources.TITLE[Oil]","$$Resources.TITLE[Oil]","$$Resources.TITLE[Oil]","$$Resources.TITLE[Oil]","$$Resources.TITLE[Oil]","$$Resources.TITLE[Oil]","$$Resources.TITLE[Oil]","$$Resources.TITLE[Oil]","$$Resources.TITLE[Oil]"
"InfomodeTitleOre","$$Resources.TITLE[Ore]","$$Resources.TITLE[Ore]","$$Resources.TITLE[Ore]","$$Resources.TITLE[Ore]","$$Resources.TITLE[Ore]","$$Resources.TITLE[Ore]","$$Resources.TITLE[Ore]","$$Resources.TITLE[Ore]","$$Resources.TITLE[Ore]","$$Resources.TITLE[Ore]","$$Resources.TITLE[Ore]","$$Resources.TITLE[Ore]"
"InfomodeTitleCoal","$$Resources.TITLE[Coal]","$$Resources.TITLE[Coal]","$$Resources.TITLE[Coal]","$$Resources.TITLE[Coal]","$$Resources.TITLE[Coal]","$$Resources.TITLE[Coal]","$$Resources.TITLE[Coal]","$$Resources.TITLE[Coal]","$$Resources.TITLE[Coal]","$$Resources.TITLE[Coal]","$$Resources.TITLE[Coal]","$$Resources.TITLE[Coal]"
"InfomodeTitleStone","$$Resources.TITLE[Stone]","$$Resources.TITLE[Stone]","$$Resources.TITLE[Stone]","$$Resources.TITLE[Stone]","$$Resources.TITLE[Stone]","$$Resources.TITLE[Stone]","$$Resources.TITLE[Stone]","$$Resources.TITLE[Stone]","$$Resources.TITLE[Stone]","$$Resources.TITLE[Stone]","$$Resources.TITLE[Stone]","$$Resources.TITLE[Stone]"
,,,,,,,,,,,,
"InfomodeTitleMetals","$$Resources.TITLE[Metals]","$$Resources.TITLE[Metals]","$$Resources.TITLE[Metals]","$$Resources.TITLE[Metals]","$$Resources.TITLE[Metals]","$$Resources.TITLE[Metals]","$$Resources.TITLE[Metals]","$$Resources.TITLE[Metals]","$$Resources.TITLE[Metals]","$$Resources.TITLE[Metals]","$$Resources.TITLE[Metals]","$$Resources.TITLE[Metals]"
